Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,218.0500030517578,219.85000610351562,217.0500030517578,219.10000610351562,204.73330688476562,7765495
2022-01-04,219.5,221.6999969482422,219.0500030517578,220.25,205.8079071044922,9050253
2022-01-05,219.64999389648438,221.5,218.64999389648438,220.5500030517578,206.08822631835938,11230588
2022-01-06,219.0,220.39999389648438,218.1999969482422,218.6999969482422,204.3595428466797,8950589
2022-01-07,219.8000030517578,220.64999389648438,217.5,218.39999389648438,204.07920837402344,8855041
2022-01-10,219.89999389648438,224.6999969482422,218.89999389648438,223.3000030517578,208.6579132080078,15841299
2022-01-11,223.35000610351562,224.25,221.1999969482422,221.9499969482422,207.39642333984375,8020695
2022-01-12,222.5,223.64999389648438,221.60000610351562,222.75,208.1439666748047,13158894
2022-01-13,223.89999389648438,225.8000030517578,222.75,223.9499969482422,209.26527404785156,11501088
2022-01-14,223.9499969482422,224.8000030517578,222.3000030517578,222.60000610351562,208.00381469726562,10569725
2022-01-17,222.60000610351562,225.60000610351562,221.35000610351562,224.60000610351562,209.8726806640625,12318313
2022-01-18,224.60000610351562,227.3000030517578,220.3000030517578,220.75,206.27513122558594,14394097
2022-01-19,220.75,222.39999389648438,218.6999969482422,220.35000610351562,205.90135192871094,11473796
2022-01-20,220.5500030517578,222.14999389648438,218.0,218.75,204.40625,17329896
2022-01-21,218.5,220.5,216.0,217.0500030517578,202.81773376464844,16586264
2022-01-24,217.0500030517578,217.75,210.89999389648438,211.8000030517578,197.91195678710938,17354942
2022-01-25,212.0,214.6999969482422,209.5500030517578,214.3000030517578,200.248046875,18322935
2022-01-27,211.25,215.5,211.10000610351562,214.60000610351562,200.52838134765625,23149684
2022-01-28,215.10000610351562,219.25,215.10000610351562,217.60000610351562,203.33168029785156,15276991
2022-01-31,218.5,220.75,217.10000610351562,220.1999969482422,205.7611846923828,15039006
2022-02-01,221.0,228.8000030517578,219.14999389648438,227.75,212.81613159179688,43207074
2022-02-02,230.0,233.3000030517578,229.0,232.14999389648438,216.92759704589844,41130638
2022-02-03,232.14999389648438,235.1999969482422,231.8000030517578,234.4499969482422,219.0767822265625,27845963
2022-02-04,237.25,238.5,231.5500030517578,234.3000030517578,218.93663024902344,56705951
2022-02-07,234.0,234.75,228.5,230.1999969482422,215.10546875,24171083
2022-02-08,230.3000030517578,232.3000030517578,229.0500030517578,231.25,216.08660888671875,16201280
2022-02-09,232.3000030517578,233.0,228.75,230.14999389648438,215.05874633789062,11893807
2022-02-10,228.6999969482422,233.39999389648438,227.75,232.25,217.02105712890625,19563580
2022-02-11,232.0,233.3000030517578,229.8000030517578,232.4499969482422,217.20794677734375,18096561
2022-02-14,226.0,226.0,218.5,219.4499969482422,209.79876708984375,22745228
2022-02-15,221.0,223.5,218.5500030517578,223.0,213.19264221191406,12875311
2022-02-16,223.8000030517578,224.6999969482422,221.85000610351562,222.75,212.95364379882812,11231596
2022-02-17,223.0500030517578,224.35000610351562,220.85000610351562,222.64999389648438,212.85801696777344,14024149
2022-02-18,222.64999389648438,223.4499969482422,221.5,221.89999389648438,212.14102172851562,8670947
2022-02-21,220.3000030517578,221.3000030517578,217.14999389648438,218.0,208.41253662109375,16129017
2022-02-22,215.0,216.89999389648438,213.0,214.85000610351562,205.40109252929688,25749340
2022-02-23,216.8000030517578,217.5,215.0500030517578,215.9499969482422,206.45269775390625,11014283
2022-02-24,210.0,213.3000030517578,207.0,208.5,199.33035278320312,41341523
2022-02-25,211.5,216.5,210.5500030517578,213.9499969482422,204.5406494140625,23633656
2022-02-28,213.1999969482422,216.4499969482422,210.8000030517578,215.85000610351562,206.3571014404297,20034633
2022-03-02,214.39999389648438,216.60000610351562,212.4499969482422,215.3000030517578,205.83128356933594,19295994
2022-03-03,216.0500030517578,220.1999969482422,216.0,219.39999389648438,209.7509765625,28532668
2022-03-04,217.6999969482422,227.39999389648438,217.0,225.5,215.58270263671875,66835736
2022-03-07,222.0,227.0,220.10000610351562,224.9499969482422,215.05686950683594,45258669
2022-03-08,223.89999389648438,228.4499969482422,223.75,226.89999389648438,216.92112731933594,36036336
2022-03-09,227.6999969482422,231.39999389648438,226.10000610351562,229.25,219.16778564453125,42294906
2022-03-10,231.0,232.5,227.85000610351562,232.0,221.7968292236328,36132245
2022-03-11,231.89999389648438,237.10000610351562,230.14999389648438,236.35000610351562,225.95553588867188,41699184
2022-03-14,236.25,239.4499969482422,235.3000030517578,239.0,228.48898315429688,35113638
2022-03-15,239.0,241.39999389648438,235.89999389648438,237.85000610351562,227.3895721435547,32998305
2022-03-16,240.0,243.0,239.10000610351562,242.60000610351562,231.93064880371094,21629521
2022-03-17,245.25,245.39999389648438,242.6999969482422,244.89999389648438,234.12948608398438,34223740
2022-03-21,245.89999389648438,247.75,243.8000030517578,244.5,233.74710083007812,27975134
2022-03-22,244.5500030517578,250.75,243.5500030517578,249.75,238.76620483398438,36945426
2022-03-23,251.4499969482422,253.6999969482422,248.5,252.0,240.91725158691406,40491633
2022-03-24,251.9499969482422,256.5,251.4499969482422,254.85000610351562,243.64190673828125,38239419
2022-03-25,255.3000030517578,255.75,249.25,253.35000610351562,242.20787048339844,29284643
2022-03-28,254.0,258.0,252.5500030517578,257.04998779296875,245.74514770507812,24916402
2022-03-29,257.04998779296875,257.5,253.75,254.60000610351562,243.4029083251953,18122714
2022-03-30,255.10000610351562,256.3999938964844,248.64999389648438,249.1999969482422,238.24038696289062,17603827
2022-03-31,249.60000610351562,254.35000610351562,249.5,250.64999389648438,239.62661743164062,25656796
2022-04-01,250.0,255.35000610351562,248.8000030517578,253.3000030517578,242.1600799560547,14305709
2022-04-04,253.10000610351562,257.8999938964844,251.10000610351562,255.4499969482422,244.21551513671875,15907398
2022-04-05,256.04998779296875,261.8500061035156,255.10000610351562,259.45001220703125,248.03961181640625,27183142
2022-04-06,257.5,263.3500061035156,257.29998779296875,259.6000061035156,248.18299865722656,19597941
2022-04-07,258.0,262.20001220703125,255.8000030517578,256.6499938964844,245.3627471923828,16061089
2022-04-08,258.0,268.8500061035156,256.0,267.79998779296875,256.0223693847656,37826800
2022-04-11,268.75,273.1499938964844,266.0,267.5,255.73558044433594,46147653
2022-04-12,266.8999938964844,268.6499938964844,263.1000061035156,264.79998779296875,253.15431213378906,23553762
2022-04-13,265.29998779296875,270.6000061035156,263.6499938964844,269.54998779296875,257.6954040527344,21414383
2022-04-18,268.0,272.5,267.25,270.1000061035156,258.2212219238281,24399444
